N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"72,500",500,+0.69%,100,"4,328,092","5,969,783",53.58,"6,104,724",15.41,17.07,
2,LG에너지솔루션,"428,000",500,-0.12%,500,"1,001,520","234,000",4.51,"174,851",65.83,5.75,
3,SK하이닉스,"132,600",0,0.00%,"5,000","965,331","728,002",52.85,"1,689,503",-8.41,3.56,
4,삼성바이오로직스,"714,000","3,000",+0.42%,"2,500","508,182","71,174",10.20,"15,813",54.24,11.42,
5,삼성전자우,"58,600",700,+1.21%,100,"482,212","822,887",72.71,"787,440",12.46,N/A,
6,POSCO홀딩스,"465,000","9,000",-1.90%,"5,000","393,256","84,571",26.45,"622,938",31.75,6.11,
7,현대차,"181,900",900,-0.49%,"5,000","384,776","211,532",32.90,"182,599",4.37,9.36,
8,NAVER,"210,000","4,000",+1.94%,100,"341,058","162,409",47.50,"555,037",40.66,3.29,
9,기아,"84,200","1,600",-1.86%,"5,000","338,521","402,044",38.66,"570,378",3.70,14.57,
10,LG화학,"471,500","15,000",-3.08%,"5,000","332,843","70,592",43.20,"225,446",28.33,6.95,
11,삼성SDI,"436,500","10,500",-2.35%,"5,000","300,157","68,765",45.21,"343,681",14.53,12.52,
12,포스코퓨처엠,"322,000","8,000",+2.55%,500,"249,432","77,463",5.43,"1,177,835",308.43,4.87,
13,셀트리온,"163,400",300,+0.18%,"1,000","239,222","146,403",20.39,"137,639",39.60,13.35,
14,카카오,"50,800","1,100",+2.21%,100,"225,804","444,496",25.98,"1,350,868",518.37,13.54,
15,삼성물산,"120,200","1,600",+1.35%,100,"223,081","185,592",19.26,"133,696",9.81,7.16,
16,현대모비스,"226,500",500,-0.22%,"5,000","212,129","93,655",38.67,"37,749",6.26,6.80,
17,KB금융,"51,700",200,-0.39%,"5,000","208,615","403,511",72.39,"315,558",4.43,9.17,
18,신한지주,"36,650",250,+0.69%,"5,000","188,932","515,504",60.14,"377,082",4.63,9.70,
19,LG전자,"101,400","1,000",-0.98%,"5,000","165,939","163,648",29.16,"320,895",27.25,6.61,
20,삼성생명,"69,600",200,+0.29%,500,"139,200","200,000",16.80,"35,683",5.57,5.73,
21,SK이노베이션,"134,700",300,+0.22%,"5,000","135,583","100,656",21.30,"330,603",-54.53,8.49,
22,LG,"82,400",400,+0.49%,"5,000","129,616","157,301",36.27,"62,965",12.43,8.48,
23,삼성에스디에스,"164,800","3,700",-2.20%,500,"127,519","77,378",16.17,"123,193",16.03,14.23,
24,하나금융지주,"41,950",100,+0.24%,"5,000","122,644","292,357",68.93,"382,332",3.37,10.06,
25,한국전력,"19,030",50,-0.26%,"5,000","122,166","641,964",13.93,"399,125",-0.88,-46.91,
26,SK,"166,800","1,600",+0.97%,200,"122,095","73,198",22.77,"71,534",-15.61,5.13,
27,삼성화재,"256,500","1,000",-0.39%,500,"121,516","47,375",53.44,"22,063",7.12,9.70,
28,카카오뱅크,"25,400",50,-0.20%,"5,000","121,109","476,807",15.52,"367,329",35.62,4.68,
29,KT&G,"89,500",100,+0.11%,"5,000","119,771","133,822",42.21,"49,236",16.76,11.00,
30,HD현대중공업,"133,000","4,100",+3.18%,"5,000","118,068","88,773",7.23,"122,230",-70.22,-6.47,
31,메리츠금융지주,"56,300",600,+1.08%,500,"117,227","208,218",16.82,"193,325",5.20,30.32,
32,HMM,"16,890","1,020",+6.43%,"5,000","116,379","689,039",9.04,"3,732,807",3.89,64.98,
33,SK텔레콤,"50,400",200,-0.40%,100,"110,292","218,833",41.78,"325,838",9.76,7.97,
34,삼성전기,"146,200",500,-0.34%,"5,000","109,202","74,694",30.62,"114,026",23.07,13.76,
